topic_folder,subfolder,geographies,date_range,date_range_folder,date_range_year_var,unique_ids,smallest_geo,n_dicts,n_vars,has_P_dta,n_dta,dict_status,parse_errors
ses_demographics,sesdem_zcta_2008-2017,ZCTA (2010),2008-2017,2008-2017,,zcta10,ZCTA,1,66,Y,1,ok,
ses_demographics,sesdem_zcta_2016-2020,ZCTA (2020),2016-2020,2016-2020,,zcta20,ZCTA,1,39,Y,2,ok,
ses_demographics,totpop_zcta_2000-2010,ZCTA (2010),2000-2010,2000-2010,,zcta10,ZCTA,1,12,,1,ok,
social_services,social_services_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,8,285,Y,8,ok,
social_services,social_services_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,322,,4,ok,
social_services,social_services_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,85,Y,1,ok,
social_services,social_services_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,3,218,Y,1,ok,
social_services,social_services_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,85,Y,1,ok,
street_connectivity,street_connectivity_tract_2010,Census Tract (2010),2010,2010,,tract_fips10,Census Tract,2,32,Y,2,ok,
street_connectivity,street_connectivity_tract_2020,Census Tract (2020),2020,2020,,tract_fips20,Census Tract,2,16,Y,3,ok,nanda_stconnect_tract_2020_01_data_dictionary.xlsx: BadZipFile: File is not a zip file
street_connectivity,street_connectivity_zcta_2010,ZCTA,2010,2010,,zcta,ZCTA,1,16,Y,1,ok,
street_connectivity,street_connectivity_zcta_2020,ZCTA,2020,2020,,zcta,ZCTA,3,48,Y,5,ok,
traffic,street_type_tract_2010,Census Tract (2010),2010,2010,,tract_fips10,Census Tract,2,30,Y,2,ok,
traffic,street_type_tract_2020,Census Tract (2020),2020,2020,,tract_fips20,Census Tract,2,30,,2,ok,
traffic,street_type_zcta_2010,ZCTA,2010,2010,,zcta,ZCTA,1,15,Y,1,ok,
traffic,street_type_zcta_2020,ZCTA (2020),2020,2020,,zcta20,ZCTA,2,30,,2,ok,
traffic,traffic_volume_interpolated_zcta_1963-2019,ZCTA (2019),1963-2019,1963-2019,1963-2019,zcta19; year,ZCTA,1,22,Y,1,ok,
