topic,subfolder,filename,ext,name_pattern,stage,varname_col,ncols,header,error,relpath
land_cover,landcover_1985-2023,nanda_landcover_ZCTA20_1985-2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_ZCTA20_1985-2023_01_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_ZCTA20_1985-2023_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_ZCTA20_1985-2023_03_data_dictionary.xlsx
land_cover,landcover_tract_2001-2016,land_cover_dictionary.xlsx,.xlsx,*_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Variable Label,,land_cover\landcover_tract_2001-2016\documentation\land_cover_dictionary.xlsx
land_cover,landcover_zcta_2001-2016,landcover_zcta_2001-2016_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Variable Label,,land_cover\landcover_zcta_2001-2016\documentation\landcover_zcta_2001-2016_data_dictionary.xlsx
law_enforcement,justice_safety_tract_2006-2015,justice_safety_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,law_enforcement\justice_safety_tract_2006-2015\documentation\justice_safety_data_dictionary.xlsx
law_enforcement,justice_safety_tract_2006-2015,justice_safety_data_dictionary_02P.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,law_enforcement\justice_safety_tract_2006-2015\documentation\justice_safety_data_dictionary_02P.xlsx
law_enforcement,lawenf_1990-2021,nanda_lawenf_Tract10_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_1990-2021\documentation\nanda_lawenf_Tract10_1990-2021_01_data_dictionary.xlsx
law_enforcement,lawenf_1990-2021,nanda_lawenf_Tract20_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_1990-2021\documentation\nanda_lawenf_Tract20_1990-2021_01_data_dictionary.xlsx
law_enforcement,lawenf_1990-2021,nanda_lawenf_ZCTA10_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_1990-2021\documentation\nanda_lawenf_ZCTA10_1990-2021_01_data_dictionary.xlsx
law_enforcement,lawenf_1990-2021,nanda_lawenf_ZCTA20_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,law_enforcement\lawenf_1990-2021\documentation\nanda_lawenf_ZCTA20_1990-2021_01_data_dictionary.xlsx
law_enforcement,lawenf_1990-2022,validate_lawenf_Tract10_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,law_enforcement\lawenf_1990-2022\code\validate_lawenf_Tract10_1990-2022_2026-03-26_data_dictionary.xlsx
law_enforcement,lawenf_1990-2022,validate_lawenf_Tract20_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,law_enforcement\lawenf_1990-2022\code\validate_lawenf_Tract20_1990-2022_2026-03-26_data_dictionary.xlsx
law_enforcement,lawenf_1990-2022,validate_lawenf_Zcta10_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,law_enforcement\lawenf_1990-2022\code\validate_lawenf_Zcta10_1990-2022_2026-03-26_data_dictionary.xlsx
law_enforcement,lawenf_1990-2022,validate_lawenf_Zcta20_1990-2022_2026-03-26_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,law_enforcement\lawenf_1990-2022\code\validate_lawenf_Zcta20_1990-2022_2026-03-26_data_dictionary.xlsx
law_enforcement,lawenf_1990-2022,nanda_lawenf_Tract10_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Tract10_1990-2022_dictionary.csv
law_enforcement,lawenf_1990-2022,nanda_lawenf_Tract10_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Tract10_1990-2022_dictionary_formatted.xlsx
law_enforcement,lawenf_1990-2022,nanda_lawenf_Tract20_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,law_enforcement\lawenf_1990-2022\documentation\nanda_lawenf_Tract20_1990-2022_dictionary.csv
